customer_id,first_name,last_name,email,phone_number,gender,dob,signup_date,address,city,state,country,device_id(s),source,device_count
0fbd23bc-43a6-4eb8-acbb-f04348147f0f,Laura,W6Eber,laura.weber212@gmail.com,+1-955-055-6521,F,1964-01-08,2013-12-02,19787 Mendoza Ferry,New Taylor,Oklahoma,Turks and Caicos Islands,deb0724b-29aa-451c-bc2e-f7b6abec7304,app,1
fa10cab0-526b-44b4-bf82-f1142fc3e817,Joseph,Parker,joseph.parker542@yahoo.com,081.694.5588,M,1958-11-19,2013-12-02,116 English Rue Apt. 855,Sarahton,Nevada,Martinique,e60db787-ea6b-4c2a-816f-b10587e8cccd,app,1
da38070d-324d-419f-a8b1-cd6c9619049f,Stephanie,Smith,stephanie.smith945@yahoo.com,708.294.3245,M,1979-05-08,2013-12-02,331 Ronald Cliffs,Codyside,Washington,Iran,f3bfc9f7-6fa0-44b5-ad52-6b9168fe3890,referral,1
566d8987-4794-447a-8842-f6272553ebc0,Rob4Ert,Smith,robert.smith734@hotmail.com,(699)998-0012x165,F,2006-09-12,2013-12-02,7179 Mcgee Divide Suite 663,Port Daniel,Tennessee,United States of America,2d2b5675-3bf8-4e6d-babe-4db6e3c4e498,app,1
f6dc825d-8d19-42a2-bd1d-a606033d4e7f,Robert@,Davis,robert.davis112@hotmail.com,876.885.9124x365,F,1964-08-20,2013-12-02,952 Schultz Lake,Port Joel,Indiana,Guadeloupe,438f3f9b-6dd9-48a5-a392-e37d6218cc19,web,1
f7bb96f6-d4e3-4c70-bb57-78f15a8a3d2e,Brandon,Reyes,brandon.reyes502@yahoo.com,928.782.6165x0759,M,1982-01-31,2013-12-02,894 Steven Canyon,North Madison,Arizona,Bouvet Island (Bouvetoya),efb3e833-e120-4aeb-80ec-c2451eb93e87,app,1
608302f1-32e7-4b7b-bbc8-1aa168ca7cb8,Kelly,Lawson,kelly.lawson863@hotmail.com,(350)395-0774x2394,M,2002-12-27,2013-12-02,4587 David Square,North Nicole,California,Jersey,e34c06cc-6119-4866-9a3c-4f23f8a35999,referral,1
1c76f057-02b4-44d4-a948-e4d9b31fec78,Edwin,Shepherd,edwin.shepherd077@yahoo.com,(381)453-3054,F,2007-03-12,2013-12-02,14135 Krause Trail Suite 567,Port Cindy,Alaska,Russian Federation,dd053675-daa0-4022-b234-c9553af0eaee,referral,1
d35c09b5-40fe-4464-b3de-6c18cd43d560,Christopher,Brown,christopher.brown402@gmail.com,736.514.6854,F,1966-06-23,2013-12-02,1607 Graham Crescent Suite 363,Michaelshire,California,Ukraine,fa67fd29-9196-4c2d-8f0f-afe9e24c3002,app,1
ac41aed9-ddc2-49cd-805c-bb1b0e9c6a76,Natasha,Richardson,edward.villanueva555@yahoo.com,0504342340,M,1966-06-22,2013-12-02,81688 PAUL CIRCLES SUITE 298,Chenside,Missouri,Gibraltar,71c6f524-b2f4-4d8a-8e08-a271ac382039,referral,1
